"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","con","sex","age","moliv","faliv","sib","cuz","roma","sibliv","cuzliv","orient","init","sibgen","cond","init.1","n_switch_so","n_switch_os","loc_so","loc_os","wtr_so_est","wtr_os_est","WTRos_1","WTRos_10","WTRos_2","WTRos_3","WTRos_4","WTRos_5","WTRos_6","WTRos_7","WTRos_8","WTRos_9","WTRso_1","WTRso_10","WTRso_2","WTRso_3","WTRso_4","WTRso_5","WTRso_6","WTRso_7","WTRso_8","WTRso_9","scenario","grateful","happy","obligated","want","scenario_val","log_scenario_val","mean_log_val"
"2013-12-18 14:55:25","2013-12-18 15:00:05","IP Address","98.208.85.247",NA,"280","true","2013-12-18 15:00:05","R_00014hH5LA29wFv",NA,NA,NA,NA,"1","1","12","1","1","1","1","1","1","1","2","C",NA,"your romantic partner","C",1,1,2,2,1.06666666666667,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",5,5,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:27:15","2013-12-18 15:40:31","IP Address","71.191.255.215",NA,"796","true","2013-12-18 15:40:32","R_01FVMJCmkUd7xt3",NA,NA,NA,NA,"1","1","17","1","1","1","1","1","1","1","2","Diane","2","your oldest living sibling","Diane",1,1,3,6,0.933333333333333,0.533333333333333,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",3,3,4,3,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:29:15","2013-12-18 15:39:06","IP Address","108.235.216.31",NA,"591","true","2013-12-18 15:39:07","R_02r9c0fgujOOrVX",NA,NA,NA,NA,"1","2","23","1","1","1","1","2","1","1",NA,"Catherine",NA,"your cousin","Catherine",1,1,2,3,1.06666666666667,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",6,6,6,6,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:50:19","2013-12-18 11:56:41","IP Address","99.189.25.89",NA,"382","true","2013-12-18 11:56:41","R_02sBbFs5IlgT7oh",NA,NA,NA,NA,"1","2","16","2","1","1","1","1","1","1","1","jen",NA,"your closest friend","jen",1,1,2,2,1.06666666666667,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"S1",6,5,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:17:32","2013-12-18 15:23:08","IP Address","128.174.137.110",NA,"336","true","2013-12-18 15:23:08","R_03BkHCgzhbSfR8p",NA,NA,NA,NA,"1","1","9","1","1","1","1","1","1","1","2","Emily",NA,"your romantic partner","Emily",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",3,4,6,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:11:56","2013-12-18 15:15:14","IP Address","65.115.91.130",NA,"198","true","2013-12-18 15:15:14","R_06akZCCdXkplmlf",NA,NA,NA,NA,"1","1","10","1","1","1","1","1","1","1","2","Joe",NA,"your father","Joe",1,1,3,3,0.933333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"S1",5,5,5,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:56:57","2013-12-18 11:59:55","IP Address","216.70.255.67",NA,"178","false","2013-12-18 12:00:46","R_08U3Dts5OTxuTBj",NA,NA,NA,NA,"1","2","41","2","1","2","1","1",NA,"1","1","Mack",NA,"your father","Mack",1,0,5,1,0.666666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,"S1",NA,NA,NA,NA,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 09:21:33","2013-12-18 09:27:53","IP Address","67.1.216.52",NA,"380","true","2013-12-18 09:27:53","R_08Uesfx0TfJjLKJ",NA,NA,NA,NA,"1","1","8","2","1","1","1","2","1","1",NA,"Brian",NA,"your father","Brian",1,1,9,3,0.133333333333333,0.933333333333333,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,"S1",4,4,3,5,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 15:02:19","2013-12-18 15:08:34","IP Address","98.206.116.159",NA,"375","true","2013-12-18 15:08:35","R_0CiDrHnZVMblvg1",NA,NA,NA,NA,"1","1","4","1","1","1","1","2","1","1",NA,"Daniel","1","your oldest living sibling","Daniel",1,1,4,2,0.8,1.06666666666667,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,"S1",4,4,4,4,26.0048076923077,1.4150536464793,-0.671921334541769
"2013-12-18 11:50:38","2013-12-18 11:59:29","IP Address","172.3.243.138",NA,"531","true","2013-12-18 11:59:29","R_0cWfqGSAlRyEEsZ",NA,NA,NA,NA,"1","2","28","1","3","1","1","1","1","1","1",NA,NA,"a stranger","a stranger",1,0,8,1,0.266666666666667,1.13333333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,"S1",3,4,4,5,26.0048076923077,1.4150536464793,-0.671921334541769
