StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,con,sex,age,moliv,faliv,sib,cuz,roma,sibliv,cuzliv,orient,init,sibgen,WTRso_1,WTRso_2,WTRso_3,WTRso_4,WTRso_5,WTRso_6,WTRso_7,WTRso_8,WTRso_9,WTRso_10,WTRos_1,WTRos_2,WTRos_3,WTRos_4,WTRos_5,WTRos_6,WTRos_7,WTRos_8,WTRos_9,WTRos_10,M0_1,M0_2,M0_3,M0_4,M0_5,M0_6,M0_7,M0_8,M0_9,M0_10,M0_11,M0_12,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q57_8,Q57_9,Q57_10,Q57_11,Q57_12,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_6,Q58_7,Q58_8,Q58_9,Q58_10,Q58_11,Q58_12,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q59_7,Q59_8,Q59_9,Q59_10,Q59_11,Q59_12,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q60_7,Q60_8,Q60_9,Q60_10,Q60_11,Q60_12,cond,init
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,"Informed Consent Form



Professor Debra Lieberman is conducting an experiment to learn more about the actions that cause people to feel gratitude.



Description of Study



You will be asked to complete a series of questions about how much gratitude you think you would feel in response to various actions done by others.



Confidentiality



All of your answers will be kept confidential and will only be seen by the research team for data analysis, or by auditing or compliance officials who are bound to the same confidentiality requirements.



Risks and Inconveniences



There is no known risk involved in participating in the study. The study will take about 5 minutes to complete. Participation is voluntary, and if you agree to be in this study, but later change your mind, you may drop out at any time. There are no penalties or consequences of any kind if you decide you do not want to participate.



Questions



If you have any questions about this study, please contact Dr. Debra Lieberman by email at debra@miami.edu.  If you have any questions about your rights as a research participant, contact the University of Miami Human Subjects Research Office at 305-243-3195.



“By agreeing to participate in this research (and by pressing the I WISH TO PARTICIPATE button at the bottom of this page) you acknowledge that you have read and understand this consent form, that you understand the risks and potential benefits associated with your participation, and that you wish to participate in the research as described.”",What is your sex?,How old are you?,Is your mother currently living?,Is your father currently living?,Do you have any siblings?,Do you have any first cousins?,Are you currently in a romantic relationship?,Are any of your siblings currently living?,Are any of your first cousins currently living?,What is the sex of your romantic partner?,Write the first name of [Field-cond] in the box below.,Is [Field-cond] your brother or your sister?,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that you were in the following situation:We could pay either you or... - Imagine that you were in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you would prefer. - 8,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 1,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 2,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 3,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 4,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 5,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 6,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 7,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 8,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 8,Imagine that [FIeld-init] was in the following situation:We could pay eithe... - Imagine that [FIeld-init] was in the following situation:We could pay either you or [Field-init] a sum of money that the person could use for anything he or she wished. The money would be his/hers to keep. Please consider the following choices as if they were real money and choose which option you believe [Field-init] would prefer. - 8,"As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How grateful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How happy would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How much would you feel burdened by this gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How much would you feel required to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How thankful would you be?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How appreciative would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How indebted would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How joyful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How pleased would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How much would you want to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How much would you feel you owed the person?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $0.01. - How much would you feel the other person expects you to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How grateful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How happy would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How much would you feel burdened by this gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How much would you feel required to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How thankful would you be?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How appreciative would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How indebted would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How joyful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How pleased would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How much would you want to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How much would you feel you owed the person?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1. - How much would you feel the other person expects you to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How grateful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How happy would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How much would you feel burdened by this gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How much would you feel required to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How thankful would you be?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How appreciative would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How indebted would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How joyful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How pleased would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How much would you want to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How much would you feel you owed the person?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $10. - How much would you feel the other person expects you to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How grateful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How happy would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How much would you feel burdened by this gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How much would you feel required to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How thankful would you be?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How appreciative would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How indebted would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How joyful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How pleased would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How much would you want to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How much would you feel the other person expects you to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $100. - How much would you feel you owed the person?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How grateful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How happy would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How much would you feel burdened by this gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How much would you feel required to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How thankful would you be?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How appreciative would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How indebted would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How joyful would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How pleased would you feel?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How much would you want to return the gesture?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How much would you feel you owed the person?","As you think about how you would feel in response to the situation below, p... - As you think about how you would feel in response to the situation below, please keep the following assumption in mind:

-[Field-init] is in good health and in a financially secure position.

 


 

[Field-init] gives you $1000. - How much would you feel the other person expects you to return the gesture?",cond,init
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID1""}","{""ImportId"":""QID59""}","{""ImportId"":""QID56""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID58""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID49_7""}","{""ImportId"":""QID49_8""}","{""ImportId"":""QID49_9""}","{""ImportId"":""QID49_10""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID126_3""}","{""ImportId"":""QID126_4""}","{""ImportId"":""QID126_5""}","{""ImportId"":""QID126_6""}","{""ImportId"":""QID126_7""}","{""ImportId"":""QID126_8""}","{""ImportId"":""QID126_9""}","{""ImportId"":""QID126_10""}","{""ImportId"":""QID126_11""}","{""ImportId"":""QID126_12""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID134_2""}","{""ImportId"":""QID134_3""}","{""ImportId"":""QID134_4""}","{""ImportId"":""QID134_5""}","{""ImportId"":""QID134_6""}","{""ImportId"":""QID134_7""}","{""ImportId"":""QID134_8""}","{""ImportId"":""QID134_9""}","{""ImportId"":""QID134_10""}","{""ImportId"":""QID134_11""}","{""ImportId"":""QID134_12""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_2""}","{""ImportId"":""QID135_3""}","{""ImportId"":""QID135_4""}","{""ImportId"":""QID135_5""}","{""ImportId"":""QID135_6""}","{""ImportId"":""QID135_7""}","{""ImportId"":""QID135_8""}","{""ImportId"":""QID135_9""}","{""ImportId"":""QID135_10""}","{""ImportId"":""QID135_11""}","{""ImportId"":""QID135_12""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID136_2""}","{""ImportId"":""QID136_3""}","{""ImportId"":""QID136_4""}","{""ImportId"":""QID136_5""}","{""ImportId"":""QID136_6""}","{""ImportId"":""QID136_7""}","{""ImportId"":""QID136_8""}","{""ImportId"":""QID136_9""}","{""ImportId"":""QID136_10""}","{""ImportId"":""QID136_12""}","{""ImportId"":""QID136_13""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID137_2""}","{""ImportId"":""QID137_3""}","{""ImportId"":""QID137_4""}","{""ImportId"":""QID137_5""}","{""ImportId"":""QID137_6""}","{""ImportId"":""QID137_7""}","{""ImportId"":""QID137_8""}","{""ImportId"":""QID137_9""}","{""ImportId"":""QID137_10""}","{""ImportId"":""QID137_11""}","{""ImportId"":""QID137_12""}","{""ImportId"":""cond""}","{""ImportId"":""init""}"
2014-03-31 12:51:47,2014-03-31 12:54:05,0,68.172.211.113,,138,1,2014-03-31 12:54:05,R_23lNiKU5FfIyQ3r,,,,,,1,1,8,1,2,1,1,2,1,1,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1,1,6,6,2,6,6,4,2,1,a stranger,a stranger
2014-03-31 12:51:54,2014-03-31 12:54:32,0,142.105.219.245,,158,1,2014-03-31 12:54:32,R_etBijDHlImDjPfL,,,,,,1,2,26,1,1,1,1,1,1,1,1,Megan,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,6,4,4,6,4,4,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,your oldest living sibling,Megan
2014-03-31 12:52:06,2014-03-31 12:54:42,0,96.27.80.207,,156,1,2014-03-31 12:54:42,R_eQWsH4izYJbOHY1,,,,,,1,2,9,1,1,1,1,2,1,1,,Mounera,,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,your mother,Mounera
2014-03-31 12:53:11,2014-03-31 12:54:56,0,71.176.81.45,,105,1,2014-03-31 12:54:56,R_3TVqzWG2p17pt89,,,,,,1,2,18,1,1,1,1,1,1,1,1,Jason,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,your romantic partner,Jason
2014-03-31 12:53:35,2014-03-31 12:55:10,0,208.87.238.180,,95,1,2014-03-31 12:55:10,R_blmT5VGRyFJ6fit,,,,,,1,1,10,1,1,1,1,1,1,1,2,Richard,,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,5,2,6,6,4,5,5,4,2,3,your father,Richard
2014-03-31 12:53:43,2014-03-31 12:55:27,0,35.2.119.232,,104,1,2014-03-31 12:55:27,R_3BNtfiAQ3Qmp3q5,,,,,,1,1,6,1,1,1,1,2,1,1,,Jace,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,2,2,1,2,2,2,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an acquaintance,Jace
2014-03-31 12:53:51,2014-03-31 12:55:29,0,108.193.223.1,,98,1,2014-03-31 12:55:29,R_b8wWqCL1l2IuWB7,,,,,,1,1,8,1,1,1,1,2,1,1,,John,,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,6,6,6,4,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,an acquaintance,John
2014-03-31 12:52:53,2014-03-31 12:55:37,0,50.11.31.46,,164,1,2014-03-31 12:55:37,R_7ah1laB4bDIsgxT,,,,,,1,2,12,1,1,1,1,2,1,1,,MARK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,your father,MARK
