subject,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7_1,Q2.7_2,Q2.7_3,Q2.8_1,Q2.8_2,Q2.8_3,Q2.9_1,Q2.9_2,Q2.9_3,Q2.10_1,Q2.10_2,Q2.10_3,Q2.11_1,Q2.11_2,Q2.11_3,Q2.12_1,Q2.12_2,Q2.12_3,Q2.13_1,Q2.13_2,Q2.13_3,Q2.14_1,Q2.14_2,Q2.14_3,Q2.15_1,Q2.15_2,Q2.15_3,Q2.16_1,Q2.16_2,Q2.16_3,Q2.17_1,Q2.17_2,Q2.17_3,Q2.18_1,Q2.18_2,Q2.18_3,Q2.19_1,Q2.19_2,Q2.19_3,Q2.20_1,Q2.20_2,Q2.20_3,Q2.21_1,Q2.21_2,Q2.21_3,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.5_1,Q3.5_2,Q3.5_3,Q3.6_1,Q3.6_2,Q3.6_3,Q3.7_1,Q3.7_2,Q3.7_3,Q3.8_1,Q3.8_2,Q3.8_3,Q3.9_1,Q3.9_2,Q3.9_3,Q3.10_1,Q3.10_2,Q3.10_3,Q3.11_1,Q3.11_2,Q3.11_3,Q3.12_1,Q3.12_2,Q3.12_3,Q3.13_1,Q3.13_2,Q3.13_3,Q3.14_1,Q3.14_2,Q3.14_3,Q3.15_1,Q3.15_2,Q3.15_3,Q3.16_1,Q3.16_2,Q3.16_3,Q3.17_1,Q3.17_2,Q3.17_3,Q3.18_1,Q3.18_2,Q3.18_3,Q3.19_1,Q3.19_2,Q3.19_3,Q3.20_1,Q3.20_2,Q3.20_3,Q3.21_1,Q3.21_2,Q3.21_3,Q3.22_1,Q3.22_2,Q3.22_3,id
1,6,6,6,6,3,3,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,3,6,6,3,6,6,3,6,6,3,3,6,6,3,6,6,3,6,6,3,6,3,6,6,3,1,AP,6,6,6,4,4,4,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,44783
2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,4,4,4,4,4,4,6,6,6,5,5,5,4,4,4,2,2,2,2,2,2,3,3,3,5,5,5,2,2,2,1,JL,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,5,5,5,6,6,6,6,6,6,5,5,5,2,2,2,3,3,3,3,3,3,6,6,6,5,5,5,3,3,3,2,1,2,2,2,2,3,3,3,5,5,5,2,1,2,43726
3,5,5,6,5,4,4,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,6,5,4,5,6,6,6,6,6,6,5,5,6,5,6,6,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,5,5,6,1,AK,5,5,6,5,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,5,6,6,6,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,44733
4,5,3,2,4,3,3,5,4,4,5,4,4,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,4,3,3,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,2,1,1,2,2,1,3,3,2,5,4,4,3,3,2,1,L,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,6,6,6,6,6,6,5,5,5,4,4,4,5,5,5,4,4,4,0,,,,,,3,3,3,,,,1,1,1,2,2,2,4,4,4,3,3,3,44548
5,1,1,1,3,5,3,5,5,5,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,5,5,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,5,5,5,6,6,6,4,3,3,1,AW,4,3,3,5,5,5,5,5,5,2,2,2,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,44053
6,3,3,2,2,1,1,3,2,1,2,3,3,4,3,3,5,4,4,6,6,6,6,6,6,5,5,5,4,3,2,3,2,2,2,2,2,5,5,5,5,5,4,4,3,3,2,1,1,3,2,2,4,4,3,5,5,4,3,3,2,1,RJM,3,3,2,2,2,1,2,1,1,2,2,2,4,4,4,5,5,5,6,6,6,6,6,6,5,4,3,5,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,2,2,2,3,3,3,4,4,4,5,5,5,4,4,3,44564
7,5,2,1,3,2,1,3,1,1,4,2,1,5,3,2,5,2,2,6,6,5,6,6,6,5,5,4,3,2,2,2,1,1,2,1,1,5,4,4,4,3,3,2,1,1,3,2,2,3,2,2,5,4,3,5,4,3,5,3,2,1,AP,6,6,3,4,4,4,4,3,3,3,2,2,6,6,4,6,5,5,6,6,6,6,6,5,4,3,1,3,2,1,4,3,2,5,4,4,5,5,4,5,5,3,4,3,3,4,2,1,4,3,3,5,5,3,6,5,5,5,4,2,44584
8,4,4,4,6,6,5,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,EH,5,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,44617
9,5,4,4,4,4,4,3,4,4,2,4,3,4,4,4,6,6,6,6,6,6,6,6,6,5,5,6,4,4,4,3,4,4,4,5,6,6,6,6,5,5,6,6,5,5,2,3,3,6,6,6,6,6,6,6,6,6,5,5,6,1,AT,4,5,4,5,5,5,4,4,4,4,4,4,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,4,5,6,6,6,6,6,6,6,6,6,5,5,5,3,4,4,5,5,6,6,6,6,6,6,6,5,5,6,44834
10,2,4,5,2,3,3,5,6,6,4,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,3,3,5,6,6,5,5,4,6,6,6,6,6,6,5,5,6,2,3,1,4,4,5,6,6,6,6,6,6,5,6,6,1,SMG,2,2,3,4,4,5,2,4,4,1,3,3,5,5,6,6,6,6,6,6,6,6,6,6,4,5,5,2,2,4,6,6,6,6,4,6,6,6,6,6,6,6,5,6,6,2,4,6,6,6,6,6,6,6,6,6,6,6,5,6,44529
